"","Player","Date","Team","Position","TOI","G","A1","A2","iCF","iFF","iSF","ixG","iSCF","iFOW","iFOL","iPENT","iPEND","iHF","iHA","iGVA","iTKA","iBLK","A","P","P1","G60","A60","P60","P160","iCF60","iFF60","iSF60","ixG60","ixFSh%","iSCF60","iFO%","iPENDIFF","iSh%","iCSh%","iFSh%"
"63","SIDNEY.CROSBY","2016-02-29","PIT","C",11.56,0,1,2,3,2,1,0.07,0,7,5,0,0,0,1,0,0,1,3,3,1,0,15.57,15.57,0,15.57,10.38,5.19,0.39,3.74,0,0.58,0,0,0,0
"64","SIDNEY.CROSBY","2016-02-27","PIT","C",17.56,0,0,0,4,4,2,0.36,2,8,8,0,0,1,2,0,1,0,0,0,0,0,0,0,0,13.67,13.67,6.83,1.22,8.92,6.83,0.5,0,0,0,0
"65","SIDNEY.CROSBY","2016-02-24","PIT","C",18.65,0,0,0,6,6,3,0.44,1,12,12,0,0,1,2,3,2,0,0,0,0,0,0,0,0,19.3,19.3,9.65,1.41,7.28,3.22,0.5,0,0,0,0
"66","SIDNEY.CROSBY","2016-02-21","PIT","C",14.47,0,0,1,1,1,1,0.04,0,15,10,0,0,1,1,1,0,0,1,1,0,0,4.15,4.15,0,4.15,4.15,4.15,0.16,3.96,0,0.6,0,0,0,0
"67","SIDNEY.CROSBY","2016-02-20","PIT","C",12.37,0,0,0,2,1,0,0.04,0,9,7,1,1,0,0,1,0,1,0,0,0,0,0,0,0,9.7,4.85,0,0.21,4.32,0,0.56,0,NA,0,0
"68","SIDNEY.CROSBY","2016-02-18","PIT","C",16.55,0,1,0,1,1,1,0.07,0,10,10,0,1,1,1,1,1,0,1,1,1,0,3.63,3.63,0,3.63,3.63,3.63,0.25,7.01,0,0.5,1,0,0,0
"69","SIDNEY.CROSBY","2016-02-15","PIT","C",21.03,0,0,0,2,2,1,0.19,1,9,14,0,0,3,2,2,4,0,0,0,0,0,0,0,0,5.71,5.71,2.85,0.55,9.65,2.85,0.39,0,0,0,0
"70","SIDNEY.CROSBY","2016-02-12","PIT","C",18.62,0,0,0,3,1,0,0.01,0,12,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9.67,3.22,0,0.03,0.82,0,0.48,0,NA,0,0
"71","SIDNEY.CROSBY","2016-02-10","PIT","C",15.84,0,0,0,1,1,0,0.04,0,7,10,0,0,1,5,0,1,0,0,0,0,0,0,0,0,3.79,3.79,0,0.17,4.42,0,0.41,0,NA,0,0
"72","SIDNEY.CROSBY","2016-02-08","PIT","C",15.37,2,1,1,4,3,3,0.47,2,12,13,0,0,2,2,0,1,1,2,4,3,7.81,7.81,15.61,7.81,15.61,11.71,11.71,1.84,15.74,7.81,0.48,0,66.67,50,66.67
"73","SIDNEY.CROSBY","2016-02-06","PIT","C",15.13,0,1,0,7,6,4,0.36,1,15,10,1,0,2,1,0,0,1,1,1,1,0,3.97,3.97,0,27.76,23.79,15.86,1.45,6.07,3.97,0.6,-1,0,0,0
"74","SIDNEY.CROSBY","2016-02-05","PIT","C",15.12,1,0,0,5,4,2,0.21,1,12,10,0,0,1,0,0,0,0,0,1,1,3.97,0,3.97,3.97,19.84,15.87,7.94,0.84,5.28,3.97,0.55,0,50,20,25
"75","SIDNEY.CROSBY","2016-02-02","PIT","C",14.49,1,1,0,4,3,2,0.19,1,8,8,0,0,0,3,0,0,0,1,2,2,4.14,4.14,8.28,4.14,16.56,12.42,8.28,0.77,6.23,4.14,0.5,0,50,25,33.33
"76","SIDNEY.CROSBY","2016-01-26","PIT","C",16.09,0,0,0,3,2,1,0.12,0,11,6,1,0,0,1,0,2,0,0,0,0,0,0,0,0,11.19,7.46,3.73,0.44,5.89,0,0.65,-1,0,0,0
"77","SIDNEY.CROSBY","2016-01-23","PIT","C",15.28,0,0,0,2,1,1,0.03,0,9,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,7.85,3.93,3.93,0.1,2.61,0,0.47,0,0,0,0
"78","SIDNEY.CROSBY","2016-01-21","PIT","C",15.34,1,0,0,8,6,4,0.65,2,8,12,0,0,0,4,1,2,0,0,1,1,3.91,0,3.91,3.91,31.29,23.47,15.65,2.55,10.89,7.82,0.4,0,25,12.5,16.67
